secciones_en_catalogo: 77
49 	W12(12x6-1/2)-26____		2.10000000E+06	3.20000000E+03	4.99847391E+01	8.63651888E+03	7.22774070E+02	9.35929295E+03	5.56498246E+02	8.76908229E+01	3.09427040E+02	6.84919534E+01	5.84200000E-01	1.93040000E+00	3.00000000E-01
50 	W12(12x6-1/2)-30____		2.10000000E+06	3.20000000E+03	5.72871424E+01	1.00324135E+04	8.48975662E+02	1.08813891E+04	6.40157064E+02	1.02528339E+02	3.57190106E+02	8.02779955E+01	6.60400000E-01	2.23520000E+00	3.00000000E-01
51 	W12(12x6-1/2)-35____		2.10000000E+06	3.20000000E+03	6.70494180E+01	1.19389532E+04	1.02264182E+03	1.29615950E+04	7.52060045E+02	1.22748442E+02	4.21698296E+02	9.64171808E+01	7.62000000E-01	2.64160000E+00	3.00000000E-01
52 	W12(12x8)-40________		2.10000000E+06	3.20000000E+03	7.56980792E+01	1.28597572E+04	1.83761002E+03	1.46973672E+04	8.48056371E+02	1.80754157E+02	4.69717729E+02	1.40027900E+02	7.49300000E-01	2.61620000E+00	3.00000000E-01
53 	W12(12x8)-45________		2.10000000E+06	3.20000000E+03	8.51026472E+01	1.45601335E+04	2.08390652E+03	1.66440401E+04	9.50636159E+02	2.03961626E+02	5.29505201E+02	1.58607239E+02	8.50900000E-01	2.92100000E+00	3.00000000E-01
54 	W12(12x8)-50________		2.10000000E+06	3.20000000E+03	9.43442897E+01	1.63334410E+04	2.35073315E+03	1.86841741E+04	1.05504324E+03	2.29080568E+02	5.90375302E+02	1.78451455E+02	9.39800000E-01	3.25120000E+00	3.00000000E-01
55 	W14(14x5)-22________		2.10000000E+06	3.20000000E+03	4.24319681E+01	8.42811298E+03	2.93066090E+02	8.72117907E+03	4.82991953E+02	4.61521402E+01	2.76111430E+02	3.76742675E+01	5.84200000E-01	1.70180000E+00	3.00000000E-01
56 	W14(14x5)-26________		2.10000000E+06	3.20000000E+03	5.00000132E+01	1.03113607E+04	3.73032482E+02	1.06843932E+04	5.83693866E+02	5.84530077E+01	3.32888682E+02	4.74944628E+01	6.47700000E-01	2.13360000E+00	3.00000000E-01
57 	W14(14x6-3/4)-30____		2.10000000E+06	3.20000000E+03	5.75138020E+01	1.22089025E+04	8.17931813E+02	1.30268343E+04	6.94603253E+02	9.56969982E+01	3.90893370E+02	7.59243853E+01	6.85800000E-01	1.95580000E+00	3.00000000E-01
58 	W14(14x6-3/4)-34____		2.10000000E+06	3.20000000E+03	6.48248800E+01	1.42179910E+04	9.75140132E+02	1.51931311E+04	8.00806043E+02	1.13752130E+02	4.49637509E+02	8.98763143E+01	7.23900000E-01	2.31140000E+00	3.00000000E-01
59 	W14(14x6-3/4)-38____		2.10000000E+06	3.20000000E+03	7.23818688E+01	1.61369570E+04	1.11420058E+03	1.72511576E+04	9.01153572E+02	1.29589851E+02	5.06862162E+02	1.02565554E+02	7.87400000E-01	2.61620000E+00	3.00000000E-01
60 	W14(14x8)-43________		2.10000000E+06	3.20000000E+03	8.19871862E+01	1.79511388E+04	1.88595553E+03	1.98370944E+04	1.03475512E+03	1.85741633E+02	5.74858320E+02	1.44971424E+02	7.74700000E-01	2.69240000E+00	3.00000000E-01
61 	W14(14x8)-48________		2.10000000E+06	3.20000000E+03	9.15759980E+01	2.02523806E+04	2.14603382E+03	2.23984144E+04	1.15640003E+03	2.10434671E+02	6.45161023E+02	1.64581956E+02	8.63600000E-01	3.02260000E+00	3.00000000E-01
62 	W14(14x8)-53________		2.10000000E+06	3.20000000E+03	1.00722568E+02	2.25503010E+04	2.40790294E+03	2.49582040E+04	1.27558495E+03	2.35234066E+02	7.14130343E+02	1.84166679E+02	9.39800000E-01	3.35280000E+00	3.00000000E-01
63 	W16(16x5-1/2)-26____		2.10000000E+06	3.20000000E+03	5.00724250E+01	1.27210539E+04	4.01666059E+02	1.31227200E+04	6.38405220E+02	5.75040886E+01	3.66921815E+02	4.71515635E+01	6.35000000E-01	1.75260000E+00	3.00000000E-01
64 	W16(16x5-1/2)-31____		2.10000000E+06	3.20000000E+03	5.91900227E+01	1.57144727E+04	5.19267661E+02	1.62337403E+04	7.79193989E+02	7.40040134E+01	4.45699035E+02	6.02613054E+01	6.98500000E-01	2.23520000E+00	3.00000000E-01
65 	W16(16x7)-36________		2.10000000E+06	3.20000000E+03	6.85168020E+01	1.87715270E+04	1.02195129E+03	1.97934783E+04	9.31950184E+02	1.15202013E+02	5.27133163E+02	9.19132251E+01	7.49300000E-01	2.18440000E+00	3.00000000E-01
66 	W16(16x7)-40________		2.10000000E+06	3.20000000E+03	7.63832785E+01	2.17089817E+04	1.20509556E+03	2.29140773E+04	1.06768809E+03	1.35653201E+02	6.01484439E+02	1.07663400E+02	7.74700000E-01	2.56540000E+00	3.00000000E-01
67 	W16(16x7)-45________		2.10000000E+06	3.20000000E+03	8.57655520E+01	2.44785644E+04	1.37298393E+03	2.58515483E+04	1.19494483E+03	1.53673022E+02	6.76234991E+02	1.22630753E+02	8.76300000E-01	2.87020000E+00	3.00000000E-01
68 	W16(16x7)-50________		2.10000000E+06	3.20000000E+03	9.50975800E+01	2.74118759E+04	1.55521801E+03	2.89670939E+04	1.32743876E+03	1.73208078E+02	7.53615239E+02	1.38663725E+02	9.65200000E-01	3.20040000E+00	3.00000000E-01
69 	W16(16x7)-57________		2.10000000E+06	3.20000000E+03	1.08102348E+02	3.15050446E+04	1.80569651E+03	3.33107411E+04	1.50986742E+03	1.99692173E+02	8.61281225E+02	1.60822238E+02	1.09220000E+00	3.63220000E+00	3.00000000E-01
70 	W18(18x6)-35________		2.10000000E+06	3.20000000E+03	6.67345186E+01	2.13671838E+04	6.42981786E+02	2.20101656E+04	9.50539783E+02	8.43808118E+01	5.48335458E+02	6.95161112E+01	7.62000000E-01	2.15900000E+00	3.00000000E-01
71 	W18(18x6)-40________		2.10000000E+06	3.20000000E+03	7.62175044E+01	2.56270452E+04	7.99809301E+02	2.64268545E+04	1.12730591E+03	1.04700100E+02	6.45793562E+02	8.53928820E+01	8.00100000E-01	2.66700000E+00	3.00000000E-01
72 	W18(18x6)-46________		2.10000000E+06	3.20000000E+03	8.73985055E+01	2.96635111E+04	9.44297285E+02	3.06078084E+04	1.29330539E+03	1.22696563E+02	7.43890384E+02	1.00732290E+02	9.14400000E-01	3.07340000E+00	3.00000000E-01
73 	W18(18x7-1/2)-50____		2.10000000E+06	3.20000000E+03	9.47854693E+01	3.33642408E+04	1.67476177E+03	3.50390026E+04	1.46031438E+03	1.75945305E+02	8.27597782E+02	1.40653344E+02	9.01700000E-01	2.89560000E+00	3.00000000E-01
74 	W18(18x7-1/2)-55____		2.10000000E+06	3.20000000E+03	1.04454429E+02	3.70349245E+04	1.87876846E+03	3.89136930E+04	1.61023511E+03	1.96460191E+02	9.15263018E+02	1.57645031E+02	9.90600000E-01	3.20040000E+00	3.00000000E-01
75 	W18(18x7-1/2)-60____		2.10000000E+06	3.20000000E+03	1.13448826E+02	4.08076197E+04	2.09416289E+03	4.29017826E+04	1.76162193E+03	2.18259055E+02	1.00239829E+03	1.75196056E+02	1.05410000E+00	3.53060000E+00	3.00000000E-01
76 	W18(18x7-1/2)-65____		2.10000000E+06	3.20000000E+03	1.23011066E+02	4.44780782E+04	2.29421111E+03	4.67722893E+04	1.90856179E+03	2.38005987E+02	1.08943430E+03	1.91957058E+02	1.14300000E+00	3.81000000E+00	3.00000000E-01
77 	W18(18x7-1/2)-71____		2.10000000E+06	3.20000000E+03	1.33955565E+02	4.85406136E+04	2.52601952E+03	5.10666331E+04	2.06935331E+03	2.60509725E+02	1.18644562E+03	2.11369893E+02	1.25730000E+00	4.11480000E+00	3.00000000E-01
