secciones_en_catalogo: 59
1   40x40-12N8	40.000     40.00   200.00   4200.00   12
    5.067075    15.0      15.0
    5.067075    15.0       5.0
    5.067075    15.0     -15.0
    5.067075    15.0      -5.0
    5.067075     5.0      15.0
    5.067075     5.0     -15.0
    5.067075    -5.0      15.0
    5.067075    -5.0     -15.0
    5.067075   -15.0      15.0
    5.067075   -15.0       5.0
    5.067075   -15.0     -15.0
    5.067075   -15.0      -5.0
2	50x30-10N8	50.000     30.00   200.00   4200.00   10
    5.067075    20.0      10.0
    5.067075    20.0      3.333333
    5.067075    20.0     -10.0
    5.067075    20.0      -3.33333
    5.067075   -20.0      10.0
    5.067075   -20.0       3.33333
    5.067075   -20.0     -10.0
    5.067075   -20.0      -3.33333
    5.067075     0.0      10.0
    5.067075     0.0     -10.0
	0.71	16.667	25			
	0.71	25	25			
	0.71	-25	-25			
	0.71	-16.667	-25			
	0.71	-8.333	-25			
	0.71	0	-25			
	0.71	8.333	-25			
	0.71	16.667	-25			
	0.71	25	-25			
	0.71	-25	-16.667			
	0.71	-25	-8.333			
	0.71	-25	0			
	0.71	-25	8.333			
	0.71	-25	16.667			
	0.71	25	-16.667			
	0.71	25	-8.333			
	0.71	25	0			
	0.71	25	8.333			
	0.71	25	16.667			
36	60x60-12N4	60	60	280	4200	12
	1.27	-25	25			
	1.27	-8.333	25			
	1.27	8.333	25			
	1.27	25	25			
	1.27	-25	-25			
	1.27	-8.333	-25			
	1.27	8.333	-25			
	1.27	25	-25			
	1.27	-25	-8.333			
	1.27	-25	8.333			
	1.27	25	-8.333			
	1.27	25	8.333			
37	60x60-16N4	60	60	280	4200	16
	1.27	-25	25			
	1.27	-12.5	25			
	1.27	0	25			
	1.27	12.5	25			
	1.27	25	25			
	1.27	-25	-25			
	1.27	-12.5	-25			
	1.27	0	-25			
	1.27	12.5	-25			
	1.27	25	-25			
	1.27	-25	-12.5			
	1.27	-25	0			
	1.27	-25	12.5			
	1.27	25	-12.5			
	1.27	25	0			
	1.27	25	12.5			
38	60x60-20N4	60	60	280	4200	20
	1.27	-25	25			
	1.27	-15	25			
	1.27	-5	25			
	1.27	5	25			
	1.27	15	25			
	1.27	25	25			
	1.27	-25	-25			
	1.27	-15	-25			
	1.27	-5	-25			
	1.27	5	-25			
	1.27	15	-25			
	1.27	25	-25			
	1.27	-25	-15			
	1.27	-25	-5			
	1.27	-25	5			
	1.27	-25	15			
	1.27	25	-15			
	1.27	25	-5			
	1.27	25	5			
	1.27	25	15			
39	60x60-24N4	60	60	280	4200	24
	1.27	-25	25			
	1.27	-16.667	25			
	1.27	-8.333	25			
	1.27	0	25			
	1.27	8.333	25			
	1.27	16.667	25			
	1.27	25	25			
	1.27	-25	-25			
	1.27	-16.667	-25			
	1.27	-8.333	-25			
	1.27	0	-25			
	1.27	8.333	-25			
	1.27	16.667	-25			
	1.27	25	-25			
	1.27	-25	-16.667			
	1.27	-25	-8.333			
	1.27	-25	0			
	1.27	-25	8.333			
	1.27	-25	16.667			
	1.27	25	-16.667			
	1.27	25	-8.333			
	1.27	25	0			
	1.27	25	8.333			
	1.27	25	16.667			
40	60x60-8N6	60	60	280	4200	8
	2.87	-25	25			
	2.87	0	25			
	2.87	25	25			
	2.87	-25	-25			
	2.87	0	-25			
	2.87	25	-25			
	2.87	-25	0			
	2.87	25	0			
41	60x60-12N6	60	60	280	4200	12
	2.87	-25	25			
	2.87	-8.333	25			
	2.87	8.333	25			
	2.87	25	25			
	2.87	-25	-25			
	2.87	-8.333	-25			
	2.87	8.333	-25			
	2.87	25	-25			
	2.87	-25	-8.333			
	2.87	-25	8.333			
	2.87	25	-8.333			
	2.87	25	8.333			
42	60x60-16N6	60	60	280	4200	16
	2.87	-25	25			
	2.87	-12.5	25			
	2.87	0	25			
	2.87	12.5	25			
	2.87	25	25			
	2.87	-25	-25			
	2.87	-12.5	-25			
	2.87	0	-25			
	2.87	12.5	-25			
	2.87	25	-25			
	2.87	-25	-12.5			
	2.87	-25	0			
	2.87	-25	12.5			
	2.87	25	-12.5			
	2.87	25	0			
	2.87	25	12.5			
43	60x60-20N6	60	60	280	4200	20
	2.87	-25	25			
	2.87	-15	25			
	2.87	-5	25			
	2.87	5	25			
	2.87	15	25			
	2.87	25	25			
	2.87	-25	-25			
	2.87	-15	-25			
	2.87	-5	-25			
	2.87	5	-25			
	2.87	15	-25			
	2.87	25	-25			
	2.87	-25	-15			
	2.87	-25	-5			
	2.87	-25	5			
	2.87	-25	15			
	2.87	25	-15			
	2.87	25	-5			
	2.87	25	5			
	2.87	25	15			
44	60x60-24N6	60	60	280	4200	24
	2.87	-25	25			
	2.87	-16.667	25			
	2.87	-8.333	25			
	2.87	0	25			
	2.87	8.333	25			
	2.87	16.667	25			
	2.87	25	25			
	2.87	-25	-25			
